image_url,caption,file_name,project_name
https://images.adsttc.com/media/images/628f/f397/3253/5b3d/bbb9/e95a/large_jpg/residential-house-in-kaunas-architectural-bureau-gnatkevicius-and-partners_8.jpg?1653601207,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Exterior Photography, Windows, Cityscape",image_20.jpg,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Exterior Photography, Windows, Cityscape"
https://images.adsttc.com/media/images/628f/f407/d68d/6201/6637/a5ec/large_jpg/residential-house-in-kaunas-architectural-bureau-gnatkevicius-and-partners_5.jpg?1653601344,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Living Room",image_21.jpg,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Living Room"
https://images.adsttc.com/media/images/628f/f41a/d68d/6201/6637/a5ee/large_jpg/residential-house-in-kaunas-architectural-bureau-gnatkevicius-and-partners_10.jpg?1653601364,House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography,image_22.jpg,House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography
https://images.adsttc.com/media/images/628f/f415/d68d/6201/6637/a5ed/large_jpg/residential-house-in-kaunas-architectural-bureau-gnatkevicius-and-partners_4.jpg?1653601362,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Living Room, Windows",image_23.jpg,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Living Room, Windows"
https://images.adsttc.com/media/images/628f/f41e/d68d/6201/6637/a5f0/large_jpg/residential-house-in-kaunas-architectural-bureau-gnatkevicius-and-partners_7.jpg?1653601368,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Windows",image_24.jpg,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Windows"
https://images.adsttc.com/media/images/628f/f421/d68d/6201/6637/a5f1/large_jpg/residential-house-in-kaunas-architectural-bureau-gnatkevicius-and-partners_11.jpg?1653601371,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Kitchen, Windows",image_25.jpg,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Kitchen, Windows"
https://images.adsttc.com/media/images/628f/f3ff/d68d/6201/6637/a5eb/large_jpg/residential-house-in-kaunas-architectural-bureau-gnatkevicius-and-partners_8.jpg?1653601328,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Kitchen, Table, Chair",image_26.jpg,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Kitchen, Table, Chair"
https://images.adsttc.com/media/images/628f/f39b/3253/5b3d/bbb9/e95c/large_jpg/residential-house-in-kaunas-architectural-bureau-gnatkevicius-and-partners_11.jpg?1653601237,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Kitchen, Table, Windows, Chair",image_27.jpg,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Kitchen, Table, Windows, Chair"
https://images.adsttc.com/media/images/628f/f39f/3253/5b3d/bbb9/e95d/large_jpg/residential-house-in-kaunas-architectural-bureau-gnatkevicius-and-partners_10.jpg?1653601233,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Bedroom, Windows",image_28.jpg,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Bedroom, Windows"
https://images.adsttc.com/media/images/628f/ed96/d68d/6201/6637/a5e5/large_jpg/residential-house-in-kaunas-architectural-bureau-gnatkevicius-and-partners_4.jpg?1653599698,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Arch",image_29.jpg,"House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Interior Photography, Arch"
https://images.adsttc.com/media/images/628f/e497/d68d/6201/6637/a5a1/large_jpg/01-ground-floor-plan-1.jpg?1653597351,House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Image 30 of 37,image_30.jpg,House in Kaunas / Architectural Bureau G.Natkevicius & Partners
https://images.adsttc.com/media/images/628f/e49a/d68d/6201/6637/a5a2/large_jpg/02-first-floor-plan-2.jpg?1653597354,House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Image 31 of 37,image_31.jpg,House in Kaunas / Architectural Bureau G.Natkevicius & Partners
https://images.adsttc.com/media/images/628f/e48f/d68d/6201/6637/a59f/large_jpg/03-section-a-3.jpg?1653597343,House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Image 32 of 37,image_32.jpg,House in Kaunas / Architectural Bureau G.Natkevicius & Partners
https://images.adsttc.com/media/images/628f/e499/d68d/6241/b66d/b84a/large_jpg/04-section-b-4.jpg?1653597356,House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Image 33 of 37,image_33.jpg,House in Kaunas / Architectural Bureau G.Natkevicius & Partners
https://images.adsttc.com/media/images/628f/e499/3253/5b01/65d2/c658/large_jpg/05-north-elavation-5.jpg?1653597357,House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Image 34 of 37,image_34.jpg,House in Kaunas / Architectural Bureau G.Natkevicius & Partners
https://images.adsttc.com/media/images/628f/e49e/d68d/6201/6637/a5a4/large_jpg/07-east-elavation-7.jpg?1653597361,House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Image 35 of 37,image_35.jpg,House in Kaunas / Architectural Bureau G.Natkevicius & Partners
https://images.adsttc.com/media/images/628f/e49c/d68d/6201/6637/a5a3/large_jpg/06-west-elavation-6.jpg?1653597365,House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Image 36 of 37,image_36.jpg,House in Kaunas / Architectural Bureau G.Natkevicius & Partners
https://images.adsttc.com/media/images/628f/e4a7/d68d/6201/6637/a5a5/large_jpg/08-south-elavation-8.jpg?1653597371,House in Kaunas / Architectural Bureau G.Natkevicius & Partners - Image 37 of 37,image_37.jpg,House in Kaunas / Architectural Bureau G.Natkevicius & Partners
